Title,Published_date,Views,Likes,Comments,Month
The 5 Pillars of Success I Live By,2020-09-11,10050,869,152,Sep
Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1875,78,25,Sep
Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3925,158,43,Sep
How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11453,724,142,Sep
How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17674,566,89,Sep
Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,16944,776,93,Aug
Why I'm Starting Data Science Over Again.,2020-08-29,50505,2603,452,Aug
Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14692,613,76,Aug
Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12209,444,54,Aug
Don't Buy My Course..,2020-08-21,7309,356,148,Aug
How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28622,1101,166,Aug
Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3174,127,40,Aug
Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6212,535,110,Aug
Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4833,182,39,Aug
Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,10384,343,53,Aug
The Plagiarism Problem in Data Science,2020-08-07,12992,630,147,Aug
Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14134,597,89,Aug
Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4791,184,56,Aug
My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10913,572,90,Jul
Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2293,115,34,Jul
Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5478,250,112,Jul
Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8104,246,200,Jul
